reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.268,60,60,0,0,1,2.19,50,60,30,2,0,3.8,0.1,300,15,30,2,-0.96,10,0.1,300,60,51.52,0,0,1,10,300
0.26,60,60,0,0,1,6.76,50,60,30,2,0,8.8,0.1,300,15,30,1.17,0,10,0.1,300,60,60,0,0,1,10,300
0.248,60,60,0,0,1,10,50,60,30,1.59,0,10,0.1,300,15,30,0,0,10,0.1,300,60,60,0,0,1,10,300
0.213,60,60,0,0,1.42,4.59,50,60,32.21,0,0,10,0.1,300,15,30,0,0,10,0.1,300,60,52.13,0,0,1,10,300
0.232,60,60,0,0,4.48,1.1,50,60,30,0.44,0,9.58,0.1,300,15,30,0,0,10,0.1,300,60,51.32,0,0,1,10,300
0.283,60,60,0,0,3.75,0.1,50,60,30,1.37,0,8.06,0.1,300,15,30,0,0,10,0.1,300,60,30,0,0,1,10,300
0.29,60,60,0,0,8.3,0.1,50,60,30,2,0,6.71,0.1,300,15,30,0,0,10,0.1,300,60,30,0,0,1,10,300
0.291,53.2,60,0,0,10,0.1,50,60,30,2,0,1,0.1,300,15,30,0,0,2.54,0.1,300,60,30,0,0,1,10,300
0.298,31.71,60,0,0,10,0.1,50,60,30,2,0,1,0.1,300,15,30,0,0,4.36,0.1,300,60,30,0,0,1,10,300
0.289,60,60,0,0,10,0.1,50,60,30,1.89,0,1,0.1,300,15,30,0,0,5.55,0.1,300,60,30,0,0,1,10,300
0.292,43.77,60,0,0,10,0.1,50,60,30,2,0,1,0.1,300,15,30,0,0,7.25,0.1,300,60,30,0,0,10,10,300
0.244,59.5,36.59,0.93,-10.75,10,2.22,50,60,56.86,2,-9,2.31,10,52.67,59.52,41.99,0.25,-9.3,10,5.11,50,57.29,54.92,0.31,0,6.77,2.57,165.98
0.308,50.67,30,1.42,-11.32,5.33,0.1,50,23.71,56.22,2,-5.46,5.41,7.17,91.89,58.31,45.99,0,-6.61,8.78,2.78,50,60,60,1,0,10,10,300
0.308,60,30,1.16,-10.41,8.61,0.1,228.78,15,50.34,2,0,10,9.01,50,60,39.5,0,-5.26,8.57,5.86,50,60,60,0,-3.9,10,10,258.06
0.287,60,30,0.98,-7.02,4.16,0.1,67.53,15,50.16,2,0,10,10,115.59,60,45.51,0,-7.1,5.98,2.79,50,60,60,0.1,-15,10,10,58.63
0.363,60,30,2,-9.82,6.23,0.1,50,15,42.06,2,0,10,10,50,60,30,0,-15,1.46,8.67,127.37,60,60,0.77,-7.52,10,10,50
0.329,60,30,2,-8.13,7.05,0.1,50,16.89,60,2,0,10,10,190.88,59.06,30,0,-14.38,1,10,50,60,60,0.74,-4.62,10,10,50
0.36,60,30,2,-12.16,4.65,0.1,50,15,60,2,0,10,10,69.24,60,30,0,-11.81,1.24,2.65,50,60,60,0.09,-5.25,10,10,50
0.398,60,30,2,-15,6.67,0.1,50,15,60,2,0,10,10,50,60,30,0,-15,1,7.27,50,60,60,1.1,-5.84,10,10,90.06
0.301,40.08,30,2,-9.03,1,0.1,50,15,60,2,0,10,8.27,50,60,30,0,-9.91,1,4.12,50,60,60,0.44,-15,10,10,50
0.399,46.97,30,1.97,-15,8.73,0.1,50,15,60,2,0,10,7.48,50,60,30,0,-6.53,1,8.83,50,60,60,0,-15,10,10,50
0.365,54.43,30,1.02,-10.73,10,0.1,50,15,39.74,2,0,10,5.18,50,60,30,0,-15,1,5.34,50,60,60,0,-15,10,10,286.48
0.401,60,30,1.76,-15,10,0.1,50,15,50.7,2,0,10,3.38,50,60,30,0,-15,1,0.56,50,60,60,0,-12.35,10,10,300
0.434,60,30,1.7,-15,10,0.1,50,15,30.53,2,0,10,0.91,50,60,30,0,-15,1,0.1,50,60,60,0.44,-11.22,10,10,300
0.402,60,30,0.76,-15,10,0.1,50,15,37.27,2,0,10,1.42,50,60,30,0,-15,1,0.1,50,60,60,0.1,-9.98,10,10,300
0.339,60,30,0,-12.81,10,0.1,50,15,51.3,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,60,0,-11.5,10,10,300
0.325,60,30,0,-9.55,10,0.1,50,15,59.24,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,60,1.88,-8.05,10,10,300
0.289,60,30,0,-4.94,10,1.09,50,15,60,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,60,2,0,10,10,300
0.287,46.34,30,0,-2.09,10,0.1,50,15,59.51,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,60,2,0,10,10,300
0.314,25.69,30,0,-3.95,10,0.1,50,15,41.9,2,0,10,0.1,50,60,30,0,-15,1,0.1,50,60,60,1.85,0,10,10,300
0.362,41.55,30,0,-14.38,10,0.1,50,15,59.86,2,0,10,0.1,50,60,30,0,-15,1,0.1,96.97,60,60,1.65,0,10,10,300
