reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.434,60,30,2,-15,10,0.1,50,56.77,60,0.5,0,10,0.1,300,15,30,0,-15,10,8.42,300,60,60,2,-15,1,0.1,300
0.436,60,30,2,-15,10,0.1,50,60,60,0.47,0,10,0.1,300,15,30,0,-15,10,5,300,60,60,2,-15,1,0.1,300
0.438,60,30,2,-15,10,0.1,50,46.46,60,0.32,0,10,0.1,300,15,30,0,-15,10,1.72,300,60,60,2,-15,1,0.1,136.56
0.438,60,30,2,-15,10,0.1,50,53.58,54.41,1.11,0,10,0.1,300,15,30,0,-15,10,9.83,300,60,60,2,-15,1,0.1,300
0.467,60,30,2,-15,10,0.1,50,53.89,30,2,0,10,0.1,300,15,30,0,-15,5.56,9.45,300,60,60,2,-15,1,0.1,275.77
0.314,48.87,36.06,0.52,0,7.65,7.38,97.67,20.57,52.39,1.24,-7.11,7.22,3.5,234.77,17.01,38.99,1.65,0,5.77,10,274.99,46.33,46.22,0,-5.9,1,0.1,201.44
0.287,60,38.42,0.69,0,9.66,2.36,95.67,28.04,50.57,0.52,-15,3.92,10,300,46.56,30,2,-2.96,5.89,7.2,180.28,34.97,60,0.11,-15,1,0.1,165.08
0.29,60,46.27,0.76,0,5.51,2.07,50,44.43,60,0.25,-12.95,9.73,10,300,60,30,2,-15,10,10,82.16,60,58.52,0.62,-15,1,0.1,195.72
0.262,35.94,45.13,0,0,8.57,2.34,50,52.49,60,0,-11.1,5.25,10,300,60,30,2,-15,10,10,187.96,60,52.01,0.31,-15,1,0.1,52.9
0.352,15,33.69,0.96,0,4.82,0.1,123.5,29.94,60,0.3,-15,3.3,10,300,60,30,2,-12.32,10,10,287.53,59.37,60,0,-15,8.12,0.1,63.56
0.404,15,38.63,1.35,0,2.64,0.1,300,15,60,1.94,-14.85,2.28,10,300,60,30,2,-15,10,10,300,36.82,56.06,0.19,-15,3.01,0.1,50
0.386,15,30,2,0,10,0.1,300,15,60,0.07,-15,1,8.93,300,60,30,2,-15,10,10,300,48.11,51.63,0,-15,1,0.1,50
0.397,15,30,2,0,10,0.1,300,15.32,60,1.3,-12.95,1,0.53,300,60,30,2,-15,10,10,300,37.48,46.31,0.08,-15,1,0.1,66.08
0.388,15,32.68,2,0,10,2.39,300,15,60,0.42,-15,1,0.1,139.54,60,30,2,-15,10,10,300,53.67,40.23,0.63,-15,1,0.1,91.46
0.406,15,30,2,0,10,1.48,218.8,15,60,0,-9.76,1,0.1,50,60,30,2,-15,10,10,300,60,30,0,-15,1,0.1,165.23
0.382,15,30,1.96,0,10,6.74,300,22.7,60,0,-9.77,1,0.99,50,60,30,2,-15,10,10,300,39.84,30,0.21,-15,1,0.1,188.93
