reward,Hum,Hiss,CL,Thre,Ratio,Attk,Release,Hum1,Hiss1,CL1,Thre1,Ratio1,Attk1,Release1,Hum2,Hiss2,CL2,Thre2,Ratio2,Attk2,Release2,Hum3,Hiss3,CL3,Thre3,Ratio3,Attk3,Release3
0.501,60,60,2,-7.93,1,0.1,50,60,60,0,-4.88,10,0.1,300,60,60,2,-15,1,0.1,300,15,30,0,0,1,0.14,300
0.513,60,60,2,-15,1,0.1,50,60,60,0,-8.09,10,0.1,300,60,60,1.32,-15,9.47,0.1,300,15,30,0,0,1,1.38,300
0.505,60,60,2,-15,1,0.1,50,60,60,0,0,10,1.38,300,60,60,2,-15,10,0.1,300,15,30,0,0,1,4.38,300
0.505,60,60,2,-15,1,0.1,50,60,60,0,0,10,0.1,300,60,60,2,-15,10,0.1,300,15,30,0,0,9.14,7.79,300
0.48,60,60,2,-15,1,0.1,50,53.45,60,0,-0.83,10,2.78,300,60,60,1.75,-15,10,0.1,300,15,57.3,0,0,7.65,5.77,300
0.485,60,60,2,-15,1,0.1,50,42.82,60,0,-6.03,10,6.09,300,60,60,1.76,-15,10,0.1,300,15,60,0,0,5.8,8.3,300
0.483,60,60,2,-15,1,0.1,50,60,60,0,0,10,10,300,60,60,0.22,-15,10,0.1,168.68,15,56.36,0,0,1.64,10,300
0.479,60,60,2,-15,1,0.1,50,60,60,0,0,10,10,300,60,60,0,-15,10,0.1,154.87,15,58.89,0,0,5.73,10,300
0.486,60,60,2,-15,1,0.1,50,60,60,0,0,10,10,300,60,60,0,-15,10,0.1,50,15,52.74,0,0,6.33,6.78,290.9
0.497,60,60,2,-15,1,0.1,50,25.69,60,0,0,10,7.19,300,60,60,0,-15,10,0.1,50,15,60,0,0,10,10,50
0.493,60,60,2,-15,1,0.1,50,28.4,60,0,0,10,0.24,300,60,60,0,-15,10,0.1,50,15,60,0,0,3.82,10,50
0.514,60,60,2,-15,1,0.1,50,18,60,0,0,10,0.7,300,60,60,0.15,-15,10,0.1,130.84,15,57.57,0,0,10,7.67,50
0.538,60,60,2,-15,1,0.1,50,15,60,0,0,10,5.06,300,60,60,0.57,-15,10,0.1,238.72,15,30,0,0,5.07,3.62,50
0.5,60,60,2,-15,1,0.1,50,36.21,60,0,0,10,4.51,300,60,60,0.5,-15,10,0.1,300,15,34.04,0,0,3.1,2.68,50
0.511,60,60,2,-15,1,0.1,50,30.87,60,0,0,10,10,300,60,60,0,-15,10,0.1,297.29,15,30,0,0,3.63,3.46,50
0.513,60,60,2,-15,1,0.1,50,26.61,60,0,0,10,4.42,300,60,60,0,-15,10,0.1,300,15,30,0,0,5.86,10,50
0.506,60,60,2,-15,1,0.1,50,56.14,60,0,0,10,4.66,300,60,60,0,-15,10,0.1,212.73,15,30,0,0,10,3.09,50
0.554,43.04,50.94,0.01,-11.28,5.66,9.46,50,40.31,30.9,0,-7.4,5.62,6.71,134,15,31.61,0.22,-8.66,1,7.56,50,15,45.57,2,-5.38,1,7.9,78.9
0.558,32.62,53.35,1.37,-6.59,3.43,10,50,60,30.02,0,-11.06,9.37,8.9,50,15,34.07,0,-10.34,4.03,2.9,50,15,58.53,2,-15,1,0.1,177.2
0.536,42.58,51.7,0.85,-0.12,10,10,50,60,33.44,0,-9.6,5.83,8.41,50,26.3,30,0,-7.9,3.96,0.67,50,15,48.06,2,0,1,0.1,300
0.567,36.11,59.39,0.82,-5.39,10,1.96,50,60,30,0,0,5.34,10,50,15,30,0,-12.2,10,0.1,50,15,53.55,2,0,1,0.1,158.49
0.529,24.8,48.28,0.05,-0.51,10,7.13,50,60,52.52,0,0,10,4.18,50,15,30,0,-8.9,6.81,0.1,50,49.12,42.95,2,-4.51,1,0.1,50
0.536,60,40.12,0.24,-13.94,10,2.07,50,60,60,0,0,8.04,0.1,50,36.22,30,0.13,-6.5,5.62,0.1,50,60,36.17,2,-5.54,1,0.1,72.65
0.558,60,35.71,0,-15,10,1.81,50,60,50.95,0,0,5.69,0.24,50,57.76,30,0.63,-13.31,10,0.1,50,60,34.08,2,-8.58,3.12,0.1,50
0.541,51.88,47.55,0,-15,10,0.1,50,60,57.32,0,0,3.76,0.1,50,41.17,30,0,-15,10,0.1,50,48.49,47.02,2,0,1,0.1,67.7
0.53,54.7,58.81,0,-15,10,7.07,50,60,43.23,0,-4.66,1.34,0.1,50,45.91,30,0,-12.69,10,0.1,50,60,35.69,2,0,1,0.1,239.79
0.547,34.92,32.93,0,-15,10,2.4,50,60,44.58,0,0,3,1.29,50,34.27,30,0.43,-7.43,10,0.1,50,60,41.13,2,0,1,0.1,300
